,Open Water,Perennial Ice/Snow,Developed-Open Space,Developed-Low Intensity,Developed-Medium Intensity,Developed-High Intensity,Barren Land,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrub/Scrub,Grassland/Herbaceous,Pasture/Hay,Cultivated Crops,Woody Wetlands,Herbaceous Wetlands
Open Water,414868.8015,0.1107,0,0,0,0,1047.114,292.1418,113.4441,32.3316,638.3835,995.445,427.4658,1072.7217,474.2649,2149.0497
Perennial Ice/Snow,0.0144,1439.0469,0,0,0,0,0,0,0.2169,0,0,0.0072,0,0,0,0
Developed-Open Space,41.7339,0,254927.4669,0,0,0,139.0122,1444.86,709.6221,221.0472,835.4295,887.8878,1588.8294,1707.2046,430.7832,92.5929
Developed-Low Intensity,23.5809,0,707.1903,111436.4979,0,0,150.0327,925.3908,561.1941,154.0269,727.3458,761.5422,1124.1639,1499.9265,331.128,68.4234
Developed-Medium Intensity,18.6597,0,3311.4087,1341.9432,44294.3172,0,175.8807,499.9959,332.5815,89.8947,534.8277,642.0186,760.2525,1245.6801,213.6609,49.8654
Developed-High Intensity,11.8089,0,696.9825,1255.4964,167.1903,15856.4232,74.6577,136.5597,82.0377,21.7701,125.0937,176.5998,225.1476,382.2912,55.6344,16.1766
Barren Land,1688.8221,0.0567,0,0,0,0,92011.365,1048.4883,1211.4639,204.0993,1177.3458,848.5875,434.5164,429.2748,218.1339,184.3839
Deciduous Forest,42.2856,0,0,0,0,0,172.0476,868705.7823,1068.9183,338.3928,2943.9306,1702.9431,869.8725,308.7648,87.2613,15.7617
Evergreen Forest,66.2499,0,0,0,0,0,282.5091,1444.5549,904489.1433,896.4234,18027.2124,5499.3645,2005.6599,1024.1028,313.9695,71.8893
Mixed Forest,5.4153,0,0,0,0,0,13.0878,101.5002,202.4442,160668.1116,655.0758,118.3716,47.0106,24.9966,23.4882,1.4661
Shrub/Scrub,493.5888,0.0162,0,0,0,0,1609.218,7845.3819,41114.7468,5466.0474,1672696.915,12101.6871,2241.5463,1790.4024,878.0652,88.5528
Grassland/Herbaceous,582.9471,0.0009,0,0,0,0,594.0855,8079.4026,23453.3682,3428.1,12193.4088,1123305.652,1490.9382,1645.4034,732.5505,759.6081
Pasture/Hay,72.3915,0,0,0,0,0,88.9101,741.0897,411.8715,146.9754,1217.7738,740.6127,532886.3793,844.6689,169.9524,190.4895
Cultivated Crops,492.7923,0,0,0,0,0,130.7808,609.6375,312.2532,70.614,1832.0751,5411.1438,2390.9733,1241109.526,254.3499,382.1814
Woody Wetlands,430.614,0,0,0,0,0,52.434,304.9173,374.4198,163.9629,982.7289,530.2557,367.6221,461.2941,306846.6237,1915.1532
Herbaceous Wetlands,1598.7177,0,0,0,0,0,207.2259,158.0265,135.6021,56.2311,585.9243,883.3725,360.7317,1066.2642,4454.6472,95504.9247
